CategoryLetter,FullTitle,Author,PageNumber
A,God Of This City,"Aaron Boyd, Andrew McCann",133
,Holy (Wedding Day),"Aaron Powell, Elias Dummer",193
,Oh What Love,"Aaron Powell, Elias Dummer",365
,This Is My Father's World,"Aaron Purdy, Franklin L. Sheppard",433
,I'll Fly Away,Albert E. Brumley,244
,Tremble,"Andres Figueroa, Hank Bentley",485
,Good Good Father,"Anthony Brown, Pat Barrett",157
,Your Love Never Fails,"Anthony Skinner, Chris McClarney",501
B,I Can Only Imagine,Bart Millard,217
,What A Beautiful Name,"Ben Fielding, Brooke Ligertwood",458
,Mighty To Save,"Ben Fielding, Reuben Morgan",321
,Stronger,"Ben Fielding, Reuben Morgan",413
,Who You Say I Am,"Ben Fielding, Reuben Morgan",469
,O Praise The Name,"Benjamin Hastings, Dean Ussher",349
,Praise You In This Storm,"Bernie Herms, Mark Hall",393
,Blessed Be Your Name,"Beth Redman, Matt Redman",57
,You Are My King (Amazing Love),Billy J. Foote,511
,You Are God Alone (Not A God),"Billy J. Foote, Cindy Foote",481
,Ever Be,"Bobby Strand, Chris Greely",117
,"Lion And The Lamb, The","Brenton Brown, Brian Johnson",281
,Everlasting God,"Brenton Brown, Ken Riley",125
,Hosanna (Praise Is Rising),"Brenton Brown, Paul Baloche",213
,Build My Life,"Brett Younker, Karl Martin",59
,Come Now Is The Time To Worship,Brian Doerksen,201
,One Thing Remains (Your Love Never Fails),"Brian Johnson, Christa B. Gifford",369
,Forever (We Sing Hallelujah),"Brian Johnson, Christa Black Gifford",141
,Be Enthroned,"Brian Johnson, Hunter Thompson",45
,Hosanna (I See The King Of Glory),Brooke Ligertwood,197
,Lead Me To The Cross (Quiet I Come),Brooke Ligertwood,277
,New Wine,Brooke Ligertwood,341
,Man Of Sorrows,"Brooke Ligertwood, Matt Crocker",309
,King Of Kings,"Brooke Ligertwood, Scott Ligertwood",265
,Mountain (You're Wonderful),"Bryan Torwalt, Katie Torwalt",329
C,Hosanna,Carl Tuttle,188
,Before The Throne Of God Above,"Charitie L. Bancroft, Vikki Cook",53
,What A Friend We Have In Jesus,"Charles Converse, Joseph Scriven",480
,I Stand Amazed (My Savior's Love),Charles H. Gabriel,212
,And Can It Be (Amazing Love),Charles Wesley,27
,Christ The Lord Is Risen Today,Charles Wesley,112
,Christ The Lord Is Risen Today (He Is Not Dead),"Charles Wesley, Samuel Arnold",81
,Just As I Am,Charlotte Elliot,252
,Just As I Am (I Come Broken),"Charlotte Elliott, David Moffitt",307
,O Come To The Altar,"Chris Brown, Mack Brock",357
,Resurrecting,"Chris Brown, Mack Brock",390
,Another In The Fire,"Chris Davenport, Joel Houston",29
,Forever,Chris Tomlin,203
,Faithful,"Chris Tomlin, Christy Nockels",113
,Jesus Messiah,"Chris Tomlin, Daniel Carson",253
,At The Cross (Love Ran Red),"Chris Tomlin, Ed Cash",37
,Crown Him (Majesty),"Chris Tomlin, Ed Cash",89
,How Great Is Our God,"Chris Tomlin, Ed Cash",259
,Whom Shall I Fear (God Of Angel Armies),"Chris Tomlin, Ed Cash",477
,"Wonderful Cross, The","Chris Tomlin, Isaac Watts",505
,Even So Come,"Chris Tomlin, Jason Ingram",105
,I Will Follow,"Chris Tomlin, Jason Ingram",225
,Jesus Son Of God,"Chris Tomlin, Jason Ingram",261
,Lay Me Down,"Chris Tomlin, Jason Ingram",289
,All To Us,"Chris Tomlin, Jesse Reeves",9
,I Will Rise,"Chris Tomlin, Jesse Reeves",237
,Our God (Water You Turned Into Wine),"Chris Tomlin, Jesse Reeves",385
,Amazing Grace (My Chains Are Gone),"Chris Tomlin, John Newton",17
,I Lift My Hands,"Chris Tomlin, Louie Giglio",221
,Lord I Need You,"Christy Nockels, Daniel Carson",297
,Death Where Is Your Sting,"Cory Asbury, Anna Asbury",109
,Reckless Love,"Cory Asbury, Caleb Culver",397
D,I Know Whom I Have Believed,Daniel W. Whittle,200
,Shout To The Lord,Darlene Zschech,437
,Victor's Crown,"Darlene Zschech, Israel Houghton",453
,Forgiven,"David Crowder, Ed Cash",121
,Great Are You Lord,"David Leonard, Jason Ingram",210
,All The Poor And Powerless,"David Leonard, Leslie Jordan",5
,Wonderful Merciful Savior,"Dawn Rodgers, Eric Wyse",507
,You Are My All In All,Dennis Jernigan,515
,All Glory Be To Christ,Dustin Kensrue,13
,Came To My Rescue,"Dylan Thoma, Joel Davies",77
E,"Solid Rock, The",Edward Mote,408
,Cornerstone,"Edward Mote, Eric Liljero",85
,Be Thou My Vision,"Eleanor H. Hull, Mary E. Byrne",84
,Are You Washed In The Blood,Elisha A. Hoffman,64
,Jesus Paid It All,Elvina M. Hall,248
,Victory In Jesus (I Heard An Old Old Story),Eugene M. Bartlett,487
F,Blessed Assurance,Fanny J. Crosby,96
,To God Be The Glory,Fanny Jane Crosby,451
,Take My Life And Let It Be,Frances R. Havergal,416
,I Will Sing The Wondrous Story,Francis H. Rawley,285
,"Love Of God, The",Frederick M. Lehman,339
G,Build Your Kingdom Here,"Gareth Gilkeson, Chris Llewellyn",69
,My Lighthouse,"Gareth Gilkeson, Chris Llewellyn",333
,"Power Of Your Love, The",Geoff Bullock,419
,How Firm A Foundation,George Keith,196
,Behold The Lord,"Gerald Coates, Noel Richards",88
,Because He Lives,"Gloria Gaither, William J. Gaither",35
,Knowing You (All I Once Held Dear),Graham Kendrick,317
H,Death Was Arrested,"Heath Balltzglier, Brandon Coker",97
,It Is Well With My Soul,Horatio G. Spafford,232
I,When I Survey The Wondrous Cross,Isaac Watts,484
,At The Cross,"Isaac Watts, Ralph E. Hudson",80
,Your Presence Is Heaven,"Israel Houghton, Micah Massey",513
J,Majesty,Jack Hayford,353
,When The Roll Is Called Up Yonder,James M. Black,496
,Like A River Glorious,James Mountain,268
,Great I Am,Jared Anderson,161
,"Lord Our God, The","Jason Ingram, Kristian Stanfill",337
,Jesus I Am Resting,Jean Sophia Pigott,305
,Hallelujah For The Cross,"Jeff Pardo, Ben Glover",205
,Revelation Song,Jennie L. Riddle,401
,Sweetly Broken,Jeremy Riddle,429
,This Is Amazing Grace,"Jeremy Riddle, Josh Farro",441
,Indescribable,"Jesse Reeves, Laura Story",241
,Here For You,"Jesse Reeves, Matt Maher",185
,From The Inside Out,Joel Houston,149
,"Stand, The",Joel Houston,439
,So Will I (100 Billion X),"Joel Houston, Benjamin Hastings",421
,Broken Vessels (Amazing Grace),"Joel Houston, Jonas Myrin",61
,Oceans (Where Feet May Fail),"Joel Houston, Matt Crocker",361
,Scandal Of Grace,"Joel Houston, Matt Crocker",426
,Holy Holy Holy,"John B. Dykes, Reginald Heber",184
,Trust And Obey,John H. Sammis,472
,King Of My Heart,"John M. McMillan, Sarah McMillan",273
,Amazing Grace,"John Newton, John P. Rees",24
,Glorious Day (Living He Loved Me),"John W. Chapman, Mark Hall",129
,"Lord Is My Salvation, The","Jonas Myrin, Keith Getty",301
,"10,000 Reasons (Bless The Lord)","Jonas Myrin, Matt Redman",1
,Christ Is Enough,"Jonas Myrin, Reuben Morgan",73
,Behold Our God,"Jonathan Baird, Meghan Baird",55
,No Longer Slaves,"Jonathan D. Helser, Brian Johnson",345
,Yet Not I But Through Christ In Me,"Jonny Robinson, Rich Thompson",509
,I Surrender All,"Judson DeVenter, Winfield Weeden",228
,Mine Eyes Have Seen The Glory (Battle Hymn),Julia W. Howe,373
K,Seek Ye First,Karen Lafferty,404
,In Christ Alone,"Keith Getty, Stuart Townend",287
,O Church Arise,"Keith Getty, Stuart Townend",379
,"Power Of The Cross, The","Keith Getty, Stuart Townend",417
,Your Great Name,"Krissy Nordhoff, Michael Neale",497
,It Is Well (Grander Earth),"Kristene DiMarco, Horatio Spafford",245
,Glorious Day,"Kristian Stanfill, Jason Ingram",153
L,Above All,"Lenny LeBlanc, Paul Baloche",25
,Rooftops,"Lindsey Sweat, Ben Williams",405
,Tis So Sweet To Trust In Jesus,Lousa M. R. Stead,448
,Ancient Words,Lynn DeShazo,21
M,God Of Wonders,"Marc Byrd, Steve Hindalong",137
,You Are Holy (Prince Of Piece),"Marc Imboden, Tammi Rhoton",489
,I Stand In Awe,Mark Altrogge,271
,Who Am I,Mark Hall,473
,A Mighty Fortress Is Our God,Martin Luther,16
,As The Deer,Martin Nystrom,72
,Majesty (Here I Am),"Martin Smith, Stuart Garrard",355
,Mountain,"Matt Crocker, Joel Houston",325
,Your Grace Is Enough,Matt Maher,493
,Better Is One Day,Matt Redman,50
,"Heart Of Worship, The",Matt Redman,235
,Once Again,Matt Redman,383
,Gracefully Broken,"Matt Redman, Jonas Myrin",145
,Mercy,"Matt Redman, Jonas Myrin",313
,Crown Him With Many Crowns,"Matthew Bridges, Godfrey Thring",128
,We Believe,"Matthew Hooper, Richie Fike",465
,There Is A Redeemer,Melody Green,428
,Jesus Is Alive,"Michael Farren, Tiarne Tranter",249
,Healer,Mike Guglielmucci,177
N,All Heaven Declares,"Noel Richards, Tricia Richards",20
O,Way Maker,Osinachi K. O. Egbu,461
P,Open The Eyes Of My Heart,Paul Baloche,411
,He Reigns,"Peter Furler, Steve Taylor",173
,Living Hope,"Phil Wickham, Brian Johnson",293
R,My Redeemer Lives,Reuben Morgan,375
,Still (Hide Me Now),Reuben Morgan,446
,Lord I Lift Your Name On High,Rick Founds,280
,Here Is Love,"Robert Lowry, William Rees",189
,Come Thou Fount,Robert Robinson,120
,Days Of Elijah,Robin Mark,93
,Hallelujah For The Cross (Up To The Hill),"Ross King, Todd Wright",169
S,Onward Christian Soldiers,Sabine B. Gould,409
,O The Deep Deep Love Of Jesus,Samuel T. Francis,381
,Nearer My God To Thee,Sarah F. F. Adams,377
,Here Again,"Steven Furtick, Chris Brown",181
,Do It Again,"Steven Furtick, Matt Redman",101
,How Deep The Father's Love For Us,Stuart Townend,192
,How Great Thou Art,Stuart W. K. Hine,269
T,Great Is Thy Faithfulness,"Thomas Chisholm, William Runyan",233
,Beautiful One,Tim Hughes,42
,Here I Am To Worship,Tim Hughes,257
,I Will Sing Of My Redeemer,"Travis Cottrell, Philip Paul Bliss",229
,Lamb Of God,Twila Paris,319
W,Break Every Chain,Will Reagan,65
,There Is A Fountain,William Cowper,449
,Great Is Thy Faithfulness (Beginning To End),"William Runyan, Thomas Chisholm",165
